Price,equity
Ticker,
Date,
2022-10-31,16847.525851867777
2022-11-01,16847.525851867777
2022-11-02,16847.525851867777
2022-11-03,16847.525851867777
2022-11-04,16847.525851867777
2022-11-07,16847.525851867777
2022-11-08,16847.525851867777
2022-11-09,16847.525851867777
2022-11-10,16847.525851867777
2022-11-11,16847.525851867777
2022-11-14,16847.525851867777
2022-11-15,16847.525851867777
2022-11-16,16847.525851867777
2022-11-17,16847.525851867777
2022-11-18,16847.525851867777
2022-11-21,16847.525851867777
2022-11-22,17094.532908547942
2022-11-23,17195.840340214378
2022-11-25,16858.911720434317
2022-11-28,16416.12520030243
2022-11-29,16068.95317755371
2022-11-30,16068.95317755371
2022-12-01,16068.95317755371
2022-12-02,16014.779649576607
2022-12-05,15886.93039206043
2022-12-06,15483.878739763757
2022-12-07,15270.435274480033
2022-12-08,15455.705350225648
2022-12-09,15402.619286891186
2022-12-12,15655.06715529885
2022-12-13,15761.245994712475
2022-12-14,15516.383527824486
2022-12-15,14789.374815935478
2022-12-16,14573.764812297353
2022-12-19,14341.89821916342
2022-12-20,14341.89821916342
2022-12-21,14341.89821916342
2022-12-22,14341.89821916342
2022-12-23,14341.89821916342
2022-12-27,14341.89821916342
2022-12-28,14341.89821916342
2022-12-29,14341.89821916342
2022-12-30,14341.89821916342
2023-01-03,14341.89821916342
2023-01-04,14341.89821916342
2023-01-05,14341.89821916342
2023-01-06,14341.89821916342
2023-01-09,14341.89821916342
2023-01-10,14341.89821916342
2023-01-11,14341.89821916342
2023-01-12,14341.89821916342
2023-01-13,14341.89821916342
2023-01-17,14341.89821916342
2023-01-18,14341.89821916342
2023-01-19,14341.89821916342
2023-01-20,14341.89821916342
2023-01-23,14341.89821916342
2023-01-24,14341.89821916342
2023-01-25,14341.89821916342
2023-01-26,14341.89821916342
2023-01-27,14341.89821916342
2023-01-30,14341.89821916342
2023-01-31,14341.89821916342
2023-02-01,14341.89821916342
2023-02-02,14341.89821916342
2023-02-03,14341.89821916342
2023-02-06,14084.760521540755
2023-02-07,14355.820520248639
2023-02-08,14102.398120158165
2023-02-09,14004.930510092501
2023-02-10,14039.3286440554
2023-02-13,14303.36207192744
2023-02-14,14242.932412492286
2023-02-15,14440.957483396318
2023-02-16,14290.348465904277
2023-02-17,14182.50131524849
2023-02-21,13804.116090422045
2023-02-22,13844.092921917796
2023-02-23,13889.648450946408
2023-02-24,13639.561766906507
2023-02-27,13752.054477286172
2023-02-28,13704.639861682826
2023-03-01,13509.402701736579
2023-03-02,13565.18536363921
2023-03-03,14041.187730630136
2023-03-06,14301.505860969984
